i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
60672287,roshuran,,"","","",,esl_dota2,TriHard,2018-03-06T09:45:34.316+05:30,1:20:52,4852,235769792,TriHard,ESL AU&NZ Championship - Open Cup #1
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,ResidentSleeper,2018-09-17T08:19:16.489+05:30,22:45,1365,311210319,ResidentSleeper,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #7 | esl.gg/anz
140309366,salvation_141,#8A2BE2,"","","",,esl_dota2,:P,2018-09-11T11:14:39.934+05:30,3:19:11,11951,308662231,@SebbieSawrr Other games are good as well :P,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
145613861,mamba7_,#FF0000,"","","",,esl_dota2,LUL,2018-01-24T09:06:11.440+05:30,1:12,72,221813658,dota 1 omega LUL,RERUN: Team Secret vs. CDEC - Semifinal Game 2 - ESL One New York 2015
52411622,superslickskill,,"","","",,esl_dota2,Kappa,2018-09-18T10:30:44.219+05:30,2:33:06,9186,311589433,who is farmer john Kappa,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
39661077,boo__boo,#18B46B,"","","",,esl_dota2,Kappa,2018-03-06T13:40:23.663+05:30,5:15:41,18941,235769792,Kappa,ESL AU&NZ Championship - Open Cup #1
87661430,darkespeint,#1E90FF,"","","",,esl_dota2,HeyGuys,2018-02-25T20:08:37.746+05:30,45:52:34,165154,232108439,HeyGuys HeyGuys HeyGuys HeyGuys,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
122105269,sleepingterror10,,"","","",,esl_dota2,ANELE,2018-02-24T10:59:08.146+05:30,12:43:05,45785,232108439,Punk'd ANELE,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
69462102,jiamba,,"","","",,esl_dota2,NotLikeThis,2018-06-17T00:28:52.117+05:30,35:28,2128,274116024,oops NotLikeThis,LIVE: ESL AU&NZ Championship Season 1 Finals - Day 3 - Live from Supanova Sydney
46651763,hi_ayanami_rei,#FF0000,"","","",,esl_dota2,LUL,2018-01-26T01:00:32.066+05:30,39:55:33,143733,221813658,LUL LUL LUL ESLUL,RERUN: Team Secret vs. CDEC - Semifinal Game 2 - ESL One New York 2015
95432790,pingvfx,,"","","",,esl_dota2,kingof4Criminy,2018-08-05T07:04:12.287+05:30,5:01:58,18118,293255193,kingof4Criminy waiting room,ESL AU&NZ Championship - Open Cup #3
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,4Head,2018-09-17T09:37:10.247+05:30,1:40:39,6039,311210319,necro sniper 4Head,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #7 | esl.gg/anz
157694033,eiskrim,#1E90FF,"","","",,esl_dota2,:),2018-02-26T08:17:37.509+05:30,10:01:17,36077,232855094,at least we get the extreme zoom in on solos face again. :),RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
89805468,aiterace,#741933,turbo,Turbo,1,,esl_dota2,lirikGREAT,2018-09-18T09:50:59.070+05:30,1:53:21,6801,311589433,aus dotes lirikGREAT,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
40673927,punter75,#DAA520,premium,Prime Gaming,1,,esl_dota2,LUL,2018-09-17T09:06:51.098+05:30,1:10:20,4220,311210319,4k caster flame LUL,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #7 | esl.gg/anz
100474299,perhapss181,#00FF7F,"","","",,esl_dota2,FailFish,2018-01-23T04:39:39.745+05:30,33:37:36,121056,220970949,IF ESL gonna host the whole tourney on Facebook. This event FailFish,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
,,#008000,"","","",,esl_dota2,PogChamp,2018-02-25T07:02:09.498+05:30,32:46:06,117966,232108439,Live! PogChamp Kappa,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
74839247,dantesaki05,,"","","",,esl_dota2,SeemsGood,2018-02-25T05:18:46.164+05:30,31:02:43,111763,232108439,production value 1000/10 approve SeemsGood,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
