i_user_id,i_username,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,match_title
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,admiralE,2023-06-23T13:16:57.937+05:30,0:36,36,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,admiralE,2023-06-23T13:17:06.925+05:30,0:45,45,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
421493406,yush1ro1,#5F9EA0,"","","",,esl_dota2,esldota2Smug,2023-06-23T13:17:35.261+05:30,1:13,73,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,admiralE,2023-06-23T13:17:52.085+05:30,1:30,90,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
153869453,jerjerx7,#0000FF,moments,Moments Badge - Tier 1,1,,esl_dota2,TwitchUnity,2023-06-23T13:20:49.699+05:30,4:27,267,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
140557712,lbarbara,#FF88D5,"moderator,moments","Moderator,Moments Badge - Tier 2","1,2",,esl_dota2,elisDance,2023-06-23T13:21:28.872+05:30,5:07,307,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
134087295,anubis77110,#FF4500,moments,Moments Badge - Tier 1,1,,esl_dota2,xqcL,2023-06-23T13:21:46.127+05:30,5:24,324,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
,,#FF0000,superultracombo_2023,SuperUltraCombo 2023,1,,esl_dota2,forsenNOIDONTTHINKSO,2023-06-23T13:21:51.382+05:30,5:29,329,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
134087295,anubis77110,#FF4500,moments,Moments Badge - Tier 1,1,,esl_dota2,xqcTL,2023-06-23T13:22:07.457+05:30,5:45,345,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
,,#FF0000,superultracombo_2023,SuperUltraCombo 2023,1,,esl_dota2,masonxdJoy,2023-06-23T13:22:49.270+05:30,6:27,387,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,admiralE,2023-06-23T13:25:17.003+05:30,8:55,535,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
922453282,unclerunkles,#FF69B4,moments,Moments Badge - Tier 1,1,,esl_dota2,Kappa,2023-06-23T13:27:48.410+05:30,11:26,686,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
273751551,newbskillz,#1E90FF,moments,Moments Badge - Tier 2,2,,esl_dota2,esldota2Wave,2023-06-23T13:28:13.224+05:30,11:51,711,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
273751551,newbskillz,#1E90FF,moments,Moments Badge - Tier 2,2,,esl_dota2,esldota2TF,2023-06-23T13:30:40.916+05:30,14:19,859,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
39017841,punk_4306,#FF69B4,moments,Moments Badge - Tier 1,1,,esl_dota2,LuvSign,2023-06-23T13:31:03.877+05:30,14:42,882,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,admiralE,2023-06-23T13:33:11.284+05:30,16:49,1009,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
233284265,qalinqa,#2E8B57,moments,Moments Badge - Tier 1,1,,esl_dota2,LUL,2023-06-23T13:33:36.694+05:30,17:14,1034,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
149897359,boshi_11,#5F9EA0,premium,Prime Gaming,1,,esl_dota2,neuroJAM,2023-06-23T13:33:48.996+05:30,17:27,1047,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
173745188,freshyeska,,"","","",,esl_dota2,esldota2GGW,2023-06-23T13:34:09.763+05:30,17:48,1068,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
233284265,qalinqa,#2E8B57,moments,Moments Badge - Tier 1,1,,esl_dota2,BloodTrail,2023-06-23T13:35:59.192+05:30,19:37,1177,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
884820255,israeljosueomar7,#0000FF,"","","",,esl_dota2,RyuChamp,2023-06-23T13:36:46.812+05:30,20:25,1225,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
29707183,icer107,#520099,"","","",,esl_dota2,LUL,2023-06-23T13:39:15.205+05:30,22:53,1373,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
173745188,freshyeska,,"","","",,esl_dota2,Kappa,2023-06-23T13:39:41.647+05:30,23:19,1399,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
762336905,sicpsychosocial,,moments,Moments Badge - Tier 1,1,,esl_dota2,BibleThump,2023-06-23T13:40:52.631+05:30,24:30,1470,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
29707183,icer107,#520099,"","","",,esl_dota2,otzSADa,2023-06-23T13:42:18.325+05:30,25:56,1556,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
35651489,dreadmodex,#008000,"","","",,esl_dota2,:D,2023-06-23T13:43:17.269+05:30,26:55,1615,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
35651489,dreadmodex,#008000,"","","",,esl_dota2,<3,2023-06-23T13:43:17.269+05:30,26:55,1615,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
36652886,hoaquin,#1E90FF,moments,Moments Badge - Tier 2,2,,esl_dota2,ResidentSleeper,2023-06-23T13:43:20.488+05:30,26:58,1618,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
27891798,justtwowords,#FF7F50,"","","",,esl_dota2,LUL,2023-06-23T13:43:24.151+05:30,27:02,1622,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
173745188,freshyeska,,"","","",,esl_dota2,TPFufun,2023-06-23T13:43:51.320+05:30,27:29,1649,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
108005080,the69joke,#FF0000,moments,Moments Badge - Tier 2,2,,esl_dota2,HEER,2023-06-23T13:45:51.603+05:30,29:29,1769,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
619595091,epintut,#FF7F50,moments,Moments Badge - Tier 1,1,,esl_dota2,PogChamp,2023-06-23T13:46:01.629+05:30,29:39,1779,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,admiralE,2023-06-23T13:46:11.027+05:30,29:49,1789,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
149099971,ajani63,,"","","",,esl_dota2,BibleThump,2023-06-23T13:46:32.005+05:30,30:10,1810,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
762336905,sicpsychosocial,,moments,Moments Badge - Tier 1,1,,esl_dota2,<3,2023-06-23T13:46:37.495+05:30,30:15,1815,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
108005080,the69joke,#FF0000,moments,Moments Badge - Tier 2,2,,esl_dota2,PogChamp,2023-06-23T13:46:42.880+05:30,30:21,1821,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
921811890,pachka_sosisok,#FF69B4,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:48:16.763+05:30,31:55,1915,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:48:23.045+05:30,32:01,1921,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:49:15.326+05:30,32:53,1973,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
70305157,mailsail007,#1E90FF,"","","",,esl_dota2,aiiwanThink,2023-06-23T13:49:30.649+05:30,33:08,1988,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:49:42.615+05:30,33:20,2000,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
424070997,targon_innos,,moments,Moments Badge - Tier 2,2,,esl_dota2,Kreygasm,2023-06-23T13:49:53.983+05:30,33:32,2012,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
108005080,the69joke,#FF0000,moments,Moments Badge - Tier 2,2,,esl_dota2,LUL,2023-06-23T13:50:05.960+05:30,33:44,2024,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
924843661,kuyataps96,,"","","",,esl_dota2,TheIlluminati,2023-06-23T13:50:09.785+05:30,33:48,2028,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
280289357,skaafte,#8A2BE2,glhf_pledge,GLHF Pledge,1,,esl_dota2,LUL,2023-06-23T13:50:51.848+05:30,34:30,2070,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
194484300,bring_back_w33,#1E90FF,premium,Prime Gaming,1,,esl_dota2,BatChest,2023-06-23T13:51:20.109+05:30,34:58,2098,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
767292109,airasor_,#FF0000,moments,Moments Badge - Tier 1,1,,esl_dota2,BatChest,2023-06-23T13:51:26.274+05:30,35:04,2104,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
694952217,aizaka_zenn170,#0000FF,moments,Moments Badge - Tier 1,1,,esl_dota2,LUL,2023-06-23T13:51:27.932+05:30,35:06,2106,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
709859482,muba_2021,,"","","",,esl_dota2,<3,2023-06-23T13:52:38.056+05:30,36:16,2176,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
747255168,mositsuction,,"","","",,esl_dota2,CaitlynS,2023-06-23T13:54:05.250+05:30,37:43,2263,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
115921946,kwv12,,moments,Moments Badge - Tier 1,1,,esl_dota2,PogChamp,2023-06-23T13:54:42.503+05:30,38:20,2300,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
767292109,airasor_,#FF0000,moments,Moments Badge - Tier 1,1,,esl_dota2,BatChest,2023-06-23T13:54:45.970+05:30,38:24,2304,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:55:01.030+05:30,38:39,2319,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
40006416,firstsunrising,#DB4B16,moments,Moments Badge - Tier 1,1,,esl_dota2,khezuWoo,2023-06-23T13:55:07.486+05:30,38:45,2325,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
108005080,the69joke,#FF0000,moments,Moments Badge - Tier 2,2,,esl_dota2,FailFish,2023-06-23T13:55:11.124+05:30,38:49,2329,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
110025325,dagonsplasher,,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:55:29.636+05:30,39:07,2347,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
40006416,firstsunrising,#DB4B16,moments,Moments Badge - Tier 1,1,,esl_dota2,khezuSnack,2023-06-23T13:55:33.286+05:30,39:11,2351,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
40006416,firstsunrising,#DB4B16,moments,Moments Badge - Tier 1,1,,esl_dota2,khezuWut,2023-06-23T13:55:33.286+05:30,39:11,2351,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
900297977,forsenboys69,#DAA520,moments,Moments Badge - Tier 1,1,,esl_dota2,PoroSad,2023-06-23T13:55:41.810+05:30,39:20,2360,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
163673763,chocolatecroissant,,moments,Moments Badge - Tier 2,2,,esl_dota2,BatChest,2023-06-23T13:55:44.402+05:30,39:22,2362,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
887307681,noregid996,,moments,Moments Badge - Tier 1,1,,esl_dota2,BibleThump,2023-06-23T13:55:54.792+05:30,39:33,2373,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
108468167,lordborde,#B22222,moments,Moments Badge - Tier 1,1,,esl_dota2,KappaPride,2023-06-23T13:56:03.882+05:30,39:42,2382,1853665234,Full Broadcast: DreamLeague Season 20 - Day 13
