i_user_id,i_username,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,match_title
86516968,cletus_van_damme_gaming,#008000,no_audio,Watching without audio,1,,esl_dota2,FailFish,2024-12-09T10:17:44.654+05:30,0:20,20,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
930315532,eunoobslayer,,twitch_recap_2023,Twitch Recap 2023,1,,esl_dota2,steamy28Hutaolmao,2024-12-09T10:18:14.451+05:30,0:50,50,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
1202194297,armutsote,,"","","",,esl_dota2,PogChamp,2024-12-09T10:18:21.735+05:30,0:58,58,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
62034031,roshiii6,#00FF7F,moments,Moments Badge - Tier 1,1,,esl_dota2,BatChest,2024-12-09T10:18:28.899+05:30,1:05,65,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
930315532,eunoobslayer,,twitch_recap_2023,Twitch Recap 2023,1,,esl_dota2,biancancerLUL,2024-12-09T10:19:10.279+05:30,1:46,106,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
930315532,eunoobslayer,,twitch_recap_2023,Twitch Recap 2023,1,,esl_dota2,biancancerHello,2024-12-09T10:19:18.249+05:30,1:54,114,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
930315532,eunoobslayer,,twitch_recap_2023,Twitch Recap 2023,1,,esl_dota2,steamy28Pantsu,2024-12-09T10:19:18.249+05:30,1:54,114,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
930315532,eunoobslayer,,twitch_recap_2023,Twitch Recap 2023,1,,esl_dota2,steamy28Lero,2024-12-09T10:19:18.249+05:30,1:54,114,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
51924173,elmyr1,#2E8B57,moments,Moments Badge - Tier 2,2,,esl_dota2,:(,2024-12-09T10:19:29.043+05:30,2:05,125,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
462762866,foxlotd,#FF0000,moments,Moments Badge - Tier 1,1,,esl_dota2,ResidentSleeper,2024-12-09T10:20:04.157+05:30,2:40,160,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
420230417,grzegorz_lavrinenko,#00FF7F,"","","",,esl_dota2,4Head,2024-12-09T10:20:24.065+05:30,3:00,180,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
47313061,00raymond00,#FF0000,moments,Moments Badge - Tier 1,1,,esl_dota2,BatChest,2024-12-09T10:20:37.601+05:30,3:13,193,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
462762866,foxlotd,#FF0000,moments,Moments Badge - Tier 1,1,,esl_dota2,LUL,2024-12-09T10:21:14.086+05:30,3:50,230,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
35676200,happy_forest,#008000,rplace_2023,r/place 2023 Cake,1,,esl_dota2,WutFace,2024-12-09T10:21:41.682+05:30,4:17,257,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
175933236,marlinology,#FF7F50,"","","",,esl_dota2,Kappa,2024-12-09T10:24:13.790+05:30,6:50,410,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
,,#FF0000,"","","",,esl_dota2,esldota2TF,2024-12-09T10:24:55.419+05:30,7:31,451,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
41043909,idctwo,#7878B4,moments,Moments Badge - Tier 2,2,,esl_dota2,o_O,2024-12-09T10:25:06.375+05:30,7:42,462,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
140557712,lbarbara,#FF88D5,moderator,Moderator,1,,esl_dota2,elisLook,2024-12-09T10:25:16.326+05:30,7:52,472,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
774931086,peepazza,#1E90FF,moments,Moments Badge - Tier 1,1,,esl_dota2,DinoDance,2024-12-09T10:25:41.603+05:30,8:17,497,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
537364945,ganzaru92,,"","","",,esl_dota2,KappaPride,2024-12-09T10:25:49.962+05:30,8:26,506,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
86516968,cletus_van_damme_gaming,#008000,no_audio,Watching without audio,1,,esl_dota2,LUL,2024-12-09T10:26:14.838+05:30,8:51,531,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
537364945,ganzaru92,,"","","",,esl_dota2,KappaPride,2024-12-09T10:26:17.180+05:30,8:53,533,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
86516968,cletus_van_damme_gaming,#008000,no_audio,Watching without audio,1,,esl_dota2,LUL,2024-12-09T10:26:38.008+05:30,9:14,554,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
845446928,bign00dleboy,#8A2BE2,moments,Moments Badge - Tier 1,1,,esl_dota2,BatChest,2024-12-09T10:27:44.830+05:30,10:21,621,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
978545054,danialsyaz,,"","","",,esl_dota2,BatChest,2024-12-09T10:27:52.509+05:30,10:28,628,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
156781357,oak0,#008000,bits_charity,Direct Relief - Charity 2018,1,,esl_dota2,GlitchCat,2024-12-09T10:30:34.284+05:30,13:10,790,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
683317091,hakuji17,,"","","",,esl_dota2,LUL,2024-12-09T10:32:57.194+05:30,15:33,933,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
816574689,wind_walker9,,"","","",,esl_dota2,4Head,2024-12-09T10:33:13.238+05:30,15:49,949,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
717056241,essenceofemptiness,#8A2BE2,"","","",,esl_dota2,:D,2024-12-09T10:33:38.360+05:30,16:14,974,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
128634563,hotspotlezzie,,premium,Prime Gaming,1,,esl_dota2,WutFace,2024-12-09T10:33:46.421+05:30,16:22,982,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
225669790,thicc_wives_saves_lives,,"","","",,esl_dota2,LUL,2024-12-09T10:33:50.990+05:30,16:27,987,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
225669790,thicc_wives_saves_lives,,"","","",,esl_dota2,LUL,2024-12-09T10:35:42.772+05:30,18:19,1099,2322281941,Full Broadcast: ESL One Bangkok 2024 - Day 1
