i_badge_names,count
moments,15566
raging_wolf_helm,2441
predictions,2364
twitch_recap_2024,1772
twitch_recap_2023,1692
premium,1147
gone_bananas,1147
share_the_love,1009
"predictions, moments",955
no_audio,948
no_video,826
"moderator, partner",657
destiny_2_final_shape_raid_race,572
glhf_pledge,502
subtember_2024,363
turbo,363
marathon_reveal_runner,350
superultracombo_2023,273
glitchcon2020,267
"predictions, rplace_2023",263
rplace_2023,234
bits_charity,216
"subscriber, share_the_love",178
"predictions, share_the_love",163
"moderator, gold_pixel_heart___together_for_good_24",153
"predictions, raging_wolf_helm",150
"predictions, no_video",118
subscriber,114
moderator,110
"predictions, gone_bananas",96
chatter_cs_go_2022,94
"predictions, glhf_pledge",90
"predictions, twitch_recap_2023",89
"subscriber, premium",76
zevent_2024,71
"predictions, subscriber, share_the_love",66
"predictions, premium",64
"predictions, twitch_recap_2024",61
"subscriber, moments",61
la_velada_iv,53
bits,51
"predictions, subtember_2024",48
"predictions, subscriber, premium",47
"predictions, no_audio",47
arcane_season_2_premiere,41
speedons_5_badge,37
"subscriber, no_audio",36
minecraft_15th_anniversary_celebration,31
clips_leader,30
partner,23
"predictions, turbo",22
"subscriber, gone_bananas",20
"predictions, subscriber, destiny_2_final_shape_raid_race",17
"vip, partner",17
"predictions, chatter_cs_go_2022",14
"vip, moments",14
"moderator, moments",12
"subscriber, destiny_2_final_shape_raid_race",11
"predictions, minecraft_15th_anniversary_celebration",10
"predictions, superultracombo_2023",7
"predictions, clips_leader",4
"predictions, subscriber, no_audio",4
"predictions, bits",4
"predictions, glitchcon2020",4
purple_pixel_heart___together_for_good_24,3
"predictions, clip_the_halls",3
"predictions, partner",3
"predictions, arcane_season_2_premiere",3
"predictions, elden_ring_recluse",2
"predictions, destiny_2_final_shape_raid_race",2
vip,2
"predictions, subscriber, gone_bananas",2
elden_ring_recluse,1
"staff, bits",1
clip_the_halls,1
destiny_2_the_final_shape_streamer,1
overwatch_league_insider_2019A,1
gold_pixel_heart___together_for_good_24,1
"subscriber, superultracombo_2023",1
"subscriber, no_video",1
battlerite_1,1
"predictions, marathon_reveal_runner",1
"predictions, la_velada_iv",1
twitchconEU2023,1
"predictions, subscriber, moments",1
"moderator, share_the_love",1
"predictions, subscriber, superultracombo_2023",1
twitchcon2018,1
