i_badge_titles,count
Moments Badge - Tier 1,9987
Moments Badge - Tier 2,4840
Raging Wolf Helm,2441
Twitch Recap 2024,1772
Twitch Recap 2023,1692
Predicted Blue (1),1210
Predicted Pink (2),1154
Prime Gaming,1147
Gone Bananas Badge,1147
Share the Love,1009
Watching without audio,948
Listening only,826
Moments Badge - Tier 3,739
"Moderator, Verified",657
Destiny 2: The Final Shape Raid Race,572
GLHF Pledge,502
SUBtember 2024,363
Turbo,363
"Predicted Blue (1), Moments Badge - Tier 1",353
Marathon Reveal Runner,350
"Predicted Pink (2), Moments Badge - Tier 1",322
SuperUltraCombo 2023,273
GlitchCon 2020,267
r/place 2023 Cake,234
Direct Relief - Charity 2018,216
"3-Month Subscriber, Share the Love",171
"Moderator, Gold Pixel Heart - Together For Good '24",153
"Predicted Pink (2), r/place 2023 Cake",152
"Predicted Blue (1), Moments Badge - Tier 2",134
Subscriber,113
"Predicted Blue (1), r/place 2023 Cake",111
Moderator,110
"Predicted Pink (2), Share the Love",101
CS:GO Week Brazil 2022,94
"Predicted Blue (1), Listening only",86
"Predicted Blue (1), Raging Wolf Helm",79
"Predicted Pink (2), Moments Badge - Tier 2",75
"Predicted Pink (2), Raging Wolf Helm",71
ZEVENT 2024,71
"Predicted Blue (1), Gone Bananas Badge",70
"Subscriber, Prime Gaming",67
"Predicted Blue (1), Share the Love",62
La Velada del Año IV,53
"Predicted Pink (2), Twitch Recap 2023",47
"Predicted Pink (2), GLHF Pledge",47
"Predicted Blue (1), GLHF Pledge",43
"Predicted Blue (1), Twitch Recap 2023",42
Arcane Season 2 Premiere,41
"Predicted Pink (2), Moments Badge - Tier 3",39
"Predicted Pink (2), Twitch Recap 2024",39
"Predicted Pink (2), SUBtember 2024",39
"Predicted Pink (2), Subscriber, Prime Gaming",38
Speedons 5 Badge,37
"Predicted Pink (2), 3-Month Subscriber, Share the Love",36
"Subscriber, Watching without audio",36
"Predicted Pink (2), Prime Gaming",35
"Predicted Pink (2), Listening only",32
"Subscriber, Moments Badge - Tier 2",32
"Predicted Blue (1), Moments Badge - Tier 3",32
Minecraft 15th Anniversary Celebration,31
"Predicted Blue (1), 3-Month Subscriber, Share the Love",30
cheer 1,29
"Predicted Blue (1), Prime Gaming",29
"Subscriber, Moments Badge - Tier 1",28
"Predicted Pink (2), Watching without audio",26
"Predicted Pink (2), Gone Bananas Badge",26
Clips Leader 1,24
Verified,23
cheer 100,22
"Predicted Blue (1), Twitch Recap 2024",22
"Predicted Blue (1), Watching without audio",21
"Subscriber, Gone Bananas Badge",20
"VIP, Verified",17
"Predicted Pink (2), Subscriber, Destiny 2: The Final Shape Raid Race",16
"Predicted Blue (1), CS:GO Week Brazil 2022",14
"VIP, Moments Badge - Tier 1",13
"Subscriber, Destiny 2: The Final Shape Raid Race",11
"Predicted Pink (2), Turbo",11
"Predicted Blue (1), Turbo",11
"Predicted Pink (2), Minecraft 15th Anniversary Celebration",10
"3-Month Subscriber, Prime Gaming",9
"Predicted Blue (1), SUBtember 2024",9
"Predicted Blue (1), Subscriber, Prime Gaming",8
"Moderator, Moments Badge - Tier 2",7
"Subscriber, Share the Love",7
"Predicted Blue (1), SuperUltraCombo 2023",6
Clips Leader 3,6
"Moderator, Moments Badge - Tier 1",5
"Predicted Pink (2), Subscriber, Watching without audio",4
"Predicted Blue (1), Clips Leader 1",4
"Predicted Pink (2), Arcane Season 2 Premiere",3
"Predicted Pink (2), Clip the Halls",3
Purple Pixel Heart - Together For Good '24,3
"Predicted Blue (1), Verified",3
"Predicted Blue (1), cheer 1",3
"Predicted Blue (1), Elden Ring SuperFan badge - Recluse",2
"Predicted Blue (1), Subscriber, Gone Bananas Badge",2
"Predicted Blue (1), GlitchCon 2020",2
VIP,2
"Predicted Pink (2), GlitchCon 2020",2
"Predicted Blue (1), Destiny 2: The Final Shape Raid Race",2
"3-Month Subscriber, SuperUltraCombo 2023",1
"Staff, cheer 100",1
TwitchCon 2018 - San Jose,1
"Predicted Pink (2), SuperUltraCombo 2023",1
"Predicted Blue (1), 3-Month Subscriber, SuperUltraCombo 2023",1
Elden Ring SuperFan badge - Recluse,1
Clip the Halls,1
Destiny 2: The Final Shape Streamer,1
OWL All-Access Pass 2019,1
2-Month Subscriber,1
"2-Month Subscriber, Moments Badge - Tier 3",1
"Predicted Blue (1), Subscriber, Destiny 2: The Final Shape Raid Race",1
"Moderator, Share the Love",1
"Subscriber, Listening only",1
"Predicted Pink (2), cheer 1",1
"VIP, Moments Badge - Tier 2",1
"Predicted Blue (1), Subscriber, Moments Badge - Tier 1",1
Battlerite,1
"Predicted Pink (2), Marathon Reveal Runner",1
TwitchCon 2023 - Paris,1
Gold Pixel Heart - Together For Good '24,1
"Predicted Pink (2), La Velada del Año IV",1
"Predicted Blue (1), 3-Month Subscriber, Prime Gaming",1
